date,symbol,rate
2023-01-12,MYR,4.6955
2023-01-12,NOK,10.7228
2023-01-12,NZD,1.6937
2023-01-12,PHP,59.292
2023-01-12,PLN,4.692
2023-01-12,RON,4.944
2023-01-12,SEK,11.273
2023-01-12,SGD,1.4309
2023-01-12,THB,35.849
2023-01-12,TRY,20.231
2023-01-12,USD,1.0772
2023-01-12,ZAR,18.1417
2023-01-13,AUD,1.5586
2023-01-13,BGN,1.9558
2023-01-13,BRL,5.5512
2023-01-13,CAD,1.4494
2023-01-13,CHF,1.0051
2023-01-13,CNY,7.2729
2023-01-13,CZK,24.011
2023-01-13,DKK,7.4387
2023-01-13,GBP,0.888
2023-01-13,HKD,8.4471
2023-01-13,HUF,396.96
2023-01-13,IDR,16412.0
2023-01-13,ILS,3.7032
2023-01-13,INR,88.1
2023-01-13,ISK,154.3
2023-01-13,JPY,139.02
2023-01-13,KRW,1343.41
2023-01-13,MXN,20.439
2023-01-13,MYR,4.689
2023-01-13,NOK,10.6945
2023-01-13,NZD,1.7014
2023-01-13,PHP,59.44
2023-01-13,PLN,4.6888
2023-01-13,RON,4.9423
2023-01-13,SEK,11.2528
2023-01-13,SGD,1.4311
2023-01-13,THB,35.751
2023-01-13,TRY,20.32
2023-01-13,USD,1.0814
2023-01-13,ZAR,18.2482
2023-01-16,AUD,1.5537
2023-01-16,BGN,1.9558
2023-01-16,BRL,5.524
2023-01-16,CAD,1.4486
2023-01-16,CHF,1.0026
2023-01-16,CNY,7.2791
2023-01-16,CZK,23.997
2023-01-16,DKK,7.4392
2023-01-16,GBP,0.88758
2023-01-16,HKD,8.4449
2023-01-16,HUF,398.98
2023-01-16,IDR,16335.0
2023-01-16,ILS,3.6971
2023-01-16,INR,88.28
2023-01-16,ISK,154.5
2023-01-16,JPY,138.92
2023-01-16,KRW,1340.22
2023-01-16,MXN,20.358
2023-01-16,MYR,4.6665
2023-01-16,NOK,10.6945
2023-01-16,NZD,1.6945
2023-01-16,PHP,58.936
2023-01-16,PLN,4.6935
2023-01-16,RON,4.9313
2023-01-16,SEK,11.2725
2023-01-16,SGD,1.4288
2023-01-16,THB,35.696
2023-01-16,TRY,20.318
2023-01-16,USD,1.0812
2023-01-16,ZAR,18.445
2023-01-17,AUD,1.5611
2023-01-17,BGN,1.9558
2023-01-17,BRL,5.5607
2023-01-17,CAD,1.4547
2023-01-17,CHF,0.9998
2023-01-17,CNY,7.3473
2023-01-17,CZK,23.966
2023-01-17,DKK,7.4386
2023-01-17,GBP,0.88595
2023-01-17,HKD,8.4807
2023-01-17,HUF,399.58
2023-01-17,IDR,16468.0
2023-01-17,ILS,3.7021
2023-01-17,INR,88.58
2023-01-17,ISK,154.5
2023-01-17,JPY,139.5
2023-01-17,KRW,1343.5
2023-01-17,MXN,20.399
2023-01-17,MYR,4.6912
2023-01-17,NOK,10.7463
2023-01-17,NZD,1.6957
2023-01-17,PHP,59.441
2023-01-17,PLN,4.6958
2023-01-17,RON,4.9356
2023-01-17,SEK,11.285
2023-01-17,SGD,1.4343
2023-01-17,THB,35.869
2023-01-17,TRY,20.376
2023-01-17,USD,1.0843
2023-01-17,ZAR,18.6027
2023-01-18,AUD,1.5413
2023-01-18,BGN,1.9558
2023-01-18,BRL,5.5252
2023-01-18,CAD,1.4505
2023-01-18,CHF,0.9906
2023-01-18,CNY,7.3193
2023-01-18,CZK,23.954
2023-01-18,DKK,7.4399
2023-01-18,GBP,0.8753
2023-01-18,HKD,8.4814
2023-01-18,HUF,396.15
2023-01-18,IDR,16307.0
2023-01-18,ILS,3.6524
2023-01-18,INR,88.14
2023-01-18,ISK,154.5
2023-01-18,JPY,139.79
2023-01-18,KRW,1337.16
2023-01-18,MXN,20.219
2023-01-18,MYR,4.6754
2023-01-18,NOK,10.6553
2023-01-18,NZD,1.6683
2023-01-18,PHP,59.17
2023-01-18,PLN,4.6983
2023-01-18,RON,4.9388
2023-01-18,SEK,11.1735
2023-01-18,SGD,1.428
2023-01-18,THB,35.633
2023-01-18,TRY,20.371
2023-01-18,USD,1.0839
2023-01-18,ZAR,18.396
2023-01-19,AUD,1.5726
2023-01-19,BGN,1.9558
2023-01-19,BRL,5.6326
2023-01-19,CAD,1.4603
2023-01-19,CHF,0.9921
2023-01-19,CNY,7.3424
2023-01-19,CZK,23.924
2023-01-19,DKK,7.4398
2023-01-19,GBP,0.87648
2023-01-19,HKD,8.4696
2023-01-19,HUF,396.43
2023-01-19,IDR,16430.0
2023-01-19,ILS,3.6952
2023-01-19,INR,88.05
2023-01-19,ISK,154.5
2023-01-19,JPY,139.02
2023-01-19,KRW,1340.52
2023-01-19,MXN,20.544
2023-01-19,MYR,4.6591
2023-01-19,NOK,10.746
2023-01-19,NZD,1.6978
2023-01-19,PHP,59.099
2023-01-19,PLN,4.7063
2023-01-19,RON,4.9265
2023-01-19,SEK,11.1533
2023-01-19,SGD,1.4326
2023-01-19,THB,35.803
2023-01-19,TRY,20.33
2023-01-19,USD,1.0815
2023-01-19,ZAR,18.6931
2023-01-20,AUD,1.5619
2023-01-20,BGN,1.9558
2023-01-20,BRL,5.6271
2023-01-20,CAD,1.4583
2023-01-20,CHF,0.9962
2023-01-20,CNY,7.3425
2023-01-20,CZK,23.922
2023-01-20,DKK,7.4391
2023-01-20,GBP,0.876
2023-01-20,HKD,8.4775
